"name","is_partner","latitude","longitude"
"Mountain Top XC","0","43.701900","-72.93759"
"Mountain Trails XC","0","42.195900","-74.14579"
"Mountain View","0","44.733383","-79.92115"
"Mt Ashland","0","42.081207","-122.7169"
"Mt Baker","0","48.910599","-121.7601"
"Mt Baldy","0","49.151848","-119.2395"
"Mt Holiday","0","44.744221","-85.51408"
"Mt Holly","0","42.831715","-83.56362"
"Mt Hood Meadows","0","45.331936","-121.6656"
"Mt Hood Skibowl","0","45.301216","-121.7734"
"Mt Jefferson","0","45.355461","-68.28363"
"Mt LaCrosse","0","43.749863","-91.20027"
"Mt Pakenham","0","45.324722","-76.32826"
"Mt Pakenham XC","0","45.322430","-76.33292"
"Mt Peter","0","41.247757","-74.29499"
"Mt Shasta","0","41.320686","-122.2035"
"Mt Southington","0","41.583607","-72.92492"
"Mt Spokane","0","47.921261","-117.0961"
"Mt St Louis-Moonstone","0","44.700203","-79.64238"
"Mt Timothy","0","51.915737","-121.2519"
"Mt Washington Alpine Resort","0","49.740955","-125.2985"
"Mt. Abram Resort","1","44.398224","-70.70151"
"Mt. Bachelor","1","44.003559","-121.6786"
"Mt. Baldy","1","34.269596","-117.6218"
"Mt. Rose Ski Tahoe","1","39.328300","-119.8786"
"Murray Ridge","0","54.517895","-124.2112"
"Mystic Mountain at Nemacolin Woodlands","0","39.802898","-79.55439"
"Nakiska Ski Area","0","50.940636","-115.1503"
"Nashoba Valley","1","42.540779","-71.44261"
"New Hermon Mtn","0","44.787392","-68.94641"
"Nordic Heritage XC","0","46.681702","-68.01529"
"Nordic Mountain","0","44.118801","-89.17636"
"Nordic Skier XC","0","43.584099","-71.20739"
"North Shore XC","0","47.576302","-90.83149"
"Northfield Mtn XC","0","42.691898","-72.45729"
"Northstar at Tahoe","0","39.275173","-120.1220"
"Norway Mountain","0","45.788982","-87.87011"
"Notchview Reservation XC","0","42.510899","-73.05580"
"Nub's Nob","0","45.472771","-84.90556"
"Oak Hill Farms XC","0","42.757500","-74.29380"
"Oak Mountain","0","43.514385","-74.36156"
"Ober Gatlinburg","0","35.703381","-83.55771"
"Okemo Mountain","0","43.401806","-72.71670"
"Okemo Nordic Center","0","43.398998","-72.70349"
"Ole's XC","0","44.185001","-72.84369"
"Olympic Sports Complex XC","0","44.282101","-73.98269"
"Osceola Tug Hill XC","0","43.329102","-75.72229"
"Oshawa Ski Club","0","44.024799","-78.57812"
"Otis Ridge","0","42.193005","-73.09204"
"Otsego Ski Club","0","45.027302","-84.66600"
"Owl's Head","0","45.074642","-72.29780"
"Pajarito","0","35.894924","-106.3904"
"Panorama Mountain Village","1","50.457012","-116.2367"
"Paoli Peaks","0","38.554459","-86.51244"
"Parc National Gaspesie XC","0","49.129700","-66.48719"
"Parc National Mont Orford XC","0","45.305698","-72.16519"
"Parc National Mont-Tremblant XC","0","46.206600","-74.47200"
"Park City Mountain Resort","1","40.651375","-111.5081"
"Pats Peak","1","43.180679","-71.83341"
"Pattison XC","0","46.535000","-92.12100"
"Pebble Creek","0","42.778393","-112.1590"
"Peek' n Peak","0","42.062164","-79.73565"
"Perfect North Slopes","0","39.147919","-84.88623"
"Pico Mountain","1","43.663277","-72.84261"
"Pine Hill XC","0","43.419998","-72.01000"
"Pine Knob","0","42.740772","-83.37962"
"Pine Mountain","0","45.839520","-88.08902"
"Pine Ridge","0","44.400002","-79.63999"
"Pineland Farms XC","0","43.965500","-70.28289"
"Pineridge XC","0","42.750801","-73.34629"
"Plattekill Mountain","1","42.290169","-74.65347"
"Pomerelle","0","42.317749","-113.6079"
"Powder King","0","55.310783","-123.1217"
"Powder Mountain","1","41.379318","-111.7815"
"Powder Ridge","0","45.342857","-94.30513"
"Powderhorn","1","39.069778","-108.1513"
